service_id,date,exception_type
20230225,20230225,1
20230222,20230222,1
20230223,20230223,1
20230224,20230224,1
20230708,20230708,1
20230709,20230709,1
20230710,20230710,1
20230711,20230711,1
20230712,20230712,1
20230713,20230713,1
20230714,20230714,1
20230715,20230715,1
20230716,20230716,1
20230717,20230717,1
20230718,20230718,1
20230719,20230719,1
20230720,20230720,1
20230721,20230721,1
20230722,20230722,1
20230723,20230723,1
20230724,20230724,1
20230725,20230725,1
20230726,20230726,1
20230727,20230727,1
20230728,20230728,1
20230729,20230729,1
20230730,20230730,1
20230731,20230731,1
20230801,20230801,1
20230802,20230802,1
20230803,20230803,1
20230804,20230804,1
20230805,20230805,1
20230806,20230806,1
20230807,20230807,1
20230808,20230808,1
20230809,20230809,1
20230810,20230810,1
20230811,20230811,1
20230812,20230812,1
20230813,20230813,1
20230814,20230814,1
20230815,20230815,1
20230816,20230816,1
20230817,20230817,1
20230818,20230818,1
20230819,20230819,1
20230820,20230820,1
20230821,20230821,1
20230624,20230624,1
20230610,20230610,1
20230606,20230606,1
20230601,20230601,1
20230526,20230526,1
20230521,20230521,1
20230516,20230516,1
20230511,20230511,1
20230506,20230506,1
20230501,20230501,1
20230426,20230426,1
20230421,20230421,1
20230417,20230417,1
20230413,20230413,1
20230409,20230409,1
20230404,20230404,1
20230331,20230331,1
20230326,20230326,1
20230322,20230322,1
20230317,20230317,1
20230312,20230312,1
20230307,20230307,1
20230302,20230302,1
20230226,20230226,1
20230618,20230618,1
20230617,20230617,1
20230616,20230616,1
20230615,20230615,1
20230614,20230614,1
20230613,20230613,1
20230612,20230612,1
20230611,20230611,1
20230609,20230609,1
20230605,20230605,1
20230602,20230602,1
20230529,20230529,1
20230525,20230525,1
20230520,20230520,1
20230515,20230515,1
20230510,20230510,1
20230505,20230505,1
20230430,20230430,1
20230425,20230425,1
20230418,20230418,1
20230414,20230414,1
20230410,20230410,1
20230405,20230405,1
20230401,20230401,1
20230327,20230327,1
20230323,20230323,1
20230318,20230318,1
20230313,20230313,1
20230308,20230308,1
20230304,20230304,1
20230227,20230227,1
20230707,20230707,1
20230702,20230702,1
20230629,20230629,1
20230623,20230623,1
20230608,20230608,1
20230604,20230604,1
20230531,20230531,1
20230528,20230528,1
20230524,20230524,1
20230519,20230519,1
20230513,20230513,1
20230508,20230508,1
20230503,20230503,1
20230428,20230428,1
20230422,20230422,1
20230419,20230419,1
20230415,20230415,1
20230411,20230411,1
20230406,20230406,1
20230328,20230328,1
20230321,20230321,1
20230316,20230316,1
20230310,20230310,1
20230303,20230303,1
20230228,20230228,1
20230522,20230522,1
20230517,20230517,1
20230512,20230512,1
20230507,20230507,1
20230502,20230502,1
20230429,20230429,1
20230424,20230424,1
20230420,20230420,1
20230416,20230416,1
20230412,20230412,1
20230408,20230408,1
20230403,20230403,1
20230330,20230330,1
20230324,20230324,1
20230319,20230319,1
20230314,20230314,1
20230309,20230309,1
20230305,20230305,1
20230301,20230301,1
20230407,20230407,1
20230402,20230402,1
20230329,20230329,1
20230325,20230325,1
20230320,20230320,1
20230315,20230315,1
20230311,20230311,1
20230306,20230306,1
20230705,20230705,1
20230628,20230628,1
20230622,20230622,1
20230607,20230607,1
20230603,20230603,1
20230530,20230530,1
20230527,20230527,1
20230523,20230523,1
20230518,20230518,1
20230514,20230514,1
20230509,20230509,1
20230504,20230504,1
20230427,20230427,1
20230423,20230423,1
20230704,20230704,1
20230627,20230627,1
20230619,20230619,1
20230701,20230701,1
20230626,20230626,1
20230620,20230620,1
20230706,20230706,1
20230630,20230630,1
20230625,20230625,1
20230621,20230621,1
20230703,20230703,1
