route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
UP,20230821,20230821-4338,UP Express Union Station,1,UP03,PAUN,1,2
UP,20230821,20230821-4337,UP Express Pearson Airport,0,UP03,UNPA,1,2
UP,20230821,20230821-4336,UP Express Union Station,1,UP04,PAUN,1,2
UP,20230821,20230821-4335,UP Express Pearson Airport,0,UP04,UNPA,1,2
UP,20230821,20230821-4334,UP Express Union Station,1,UP05,PAUN,1,2
UP,20230821,20230821-4333,UP Express Pearson Airport,0,UP05,UNPA,1,2
UP,20230821,20230821-4332,UP Express Union Station,1,UP01,PAUN,1,2
UP,20230821,20230821-4331,UP Express Pearson Airport,0,UP01,UNPA,1,2
UP,20230821,20230821-4330,UP Express Union Station,1,UP02,PAUN,1,2
UP,20230821,20230821-4329,UP Express Pearson Airport,0,UP02,UNPA,1,2
UP,20230821,20230821-4328,UP Express Union Station,1,UP03,PAUN,1,2
UP,20230821,20230821-4327,UP Express Pearson Airport,0,UP03,UNPA,1,2
UP,20230821,20230821-4326,UP Express Union Station,1,UP04,PAUN,1,2
UP,20230821,20230821-4325,UP Express Pearson Airport,0,UP04,UNPA,1,2
UP,20230821,20230821-4324,UP Express Union Station,1,UP05,PAUN,1,2
UP,20230821,20230821-4323,UP Express Pearson Airport,0,UP05,UNPA,1,2
UP,20230821,20230821-4322,UP Express Union Station,1,UP01,PAUN,1,2
UP,20230821,20230821-4321,UP Express Pearson Airport,0,UP01,UNPA,1,2
UP,20230821,20230821-4320,UP Express Union Station,1,UP02,PAUN,1,2
UP,20230821,20230821-4319,UP Express Pearson Airport,0,UP02,UNPA,1,2
UP,20230821,20230821-4318,UP Express Union Station,1,UP03,PAUN,1,2
UP,20230821,20230821-4317,UP Express Pearson Airport,0,UP03,UNPA,1,2
UP,20230821,20230821-4316,UP Express Union Station,1,UP04,PAUN,1,2
UP,20230821,20230821-4315,UP Express Pearson Airport,0,UP04,UNPA,1,2
